name,symbol,weight,original_price,current_price,ytd_return_num,sector,return_category
Carrier Global,CARR,0.097813,52.10573476702508,34.89,-33.04,Industrials,negative
Consolidated Edison,ED,0.095487,84.86247741417385,84.54,-0.38,Utilities,negative
Ross Stores,ROST,0.094682,112.93196544276458,83.66,-25.92,Consumer Discretionary,negative
Dollar Tree,DLTR,0.094397,142.35447873730772,141.6,-0.53,Consumer Discretionary,negative
BNY Mellon,BK,0.094031,56.715116279069775,39.02,-31.2,Financials,negative
Vici Properties,VICI,0.094024,29.077316545347237,29.56,1.66,Real Estate,positive
Albemarle Corporation,ALB,0.093293,238.25004644250419,256.5,7.66,Materials,positive
CoStar Group,CSGP,0.092927,77.89031354379917,72.29,-7.19,Real Estate,negative
Ameriprise Financial,AMP,0.09292,296.93292888439504,264.3,-10.99,Financials,negative
Keysight Technologies,KEYS,0.092796,206.25160133230847,161,-21.94,Information Technology,negative
Kraft Heinz,KHC,0.091924,35.76191898079029,35.93,0.47,Consumer Staples,positive
Idexx Laboratories,IDXX,0.091154,645.6697459584295,335.49,-48.04,Health Care,negative
Warner Bros Discovery,WBD,0.090424,23.06286549707602,12.62,-45.28,Communication Services,negative
Kroger,KR,0.090295,44.966442953020135,42.88,-4.64,Consumer Staples,negative
Otis Worldwide,OTIS,0.090218,86.50482902636388,66.28,-23.38,Industrials,negative
Welltower,WELL,0.089946,83.87051173310716,59.33,-29.26,Real Estate,negative
SBA Communications,SBAC,0.089667,380.3133001958126,252.49,-33.61,Real Estate,negative
Constellation Energy,CEG,0.089396,36.876533115290265,85.69,132.37,Utilities,positive
Baxter International,BAX,0.089301,85.40991199629457,55.32,-35.23,Health Care,negative
Public Service Enterprise Group,PEG,0.089238,65.66019650131798,54.8,-16.54,Utilities,negative
TransDigm Group,TDG,0.089103,619.2817932296432,541.5,-12.56,Industrials,negative
Digital Realty Trust,DLR,0.089044,175.34246575342465,96,-45.25,Real Estate,negative
DuPont,DD,0.088418,78.41874084919473,53.56,-31.7,Materials,negative
Republic Services,RSG,0.087831,139.79549248747912,133.98,-4.16,Industrials,negative
PPG Industries,PPG,0.087794,168.02067946824224,113.75,-32.3,Materials,negative
WEC Energy Group,WEC,0.087779,118.75276426360018,107.4,-9.56,Utilities,negative
Verisk Analytics,VRSK,0.087313,222.81278779108013,169.36,-23.99,Industrials,negative
Ametek,AME,0.087287,145.64868534748794,117.99,-18.99,Industrials,negative
Halliburton,HAL,0.087103,24.115924618965384,32.12,33.19,Energy,positive
Rockwell Automation,ROK,0.087043,344.6228638774308,233.93,-32.12,Industrials,negative
Fastenal,FAST,0.086504,61.11710739341607,45.3,-25.88,Industrials,negative
Mettler Toledo,MTD,0.086347,NA,NA,-29.3,Health Care,negative
ON Semiconductor,ON,0.084162,67.96778883793759,60.77,-10.59,Materials,negative
Discover Financial Services,DFS,0.084159,112.9140662506001,94.08,-16.68,Financials,negative
Eversource Energy,ES,0.084082,112.68889421923723,93.96,-16.62,Utilities,negative
Arista Networks,ANET,0.083806,142.1750304341945,105.11,-26.07,Information Technology,negative
Diamondback Energy,FANG,0.080664,111.03930662206342,146.05,31.53,Energy,positive
Old Dominion Freight Line,ODFL,0.078729,346.86499466382065,260.01,-25.04,Industrials,negative
AvalonBay Communities,AVB,0.078678,246.34077021458006,173.35,-29.63,Real Estate,negative
Oneok,OKE,0.078662,58.78192949123918,55.69,-5.26,Energy,negative
Baker Hughes,BKR,0.078273,25.522388059701495,25.65,0.5,Energy,positive
American Water Works,AWK,0.077562,187.78026905829597,134,-28.64,Utilities,negative
W. W. Grainger,GWW,0.077019,503.0220315851043,516,2.58,Industrials,positive
Corning,GLW,0.076381,37.13509041484458,31.42,-15.39,Information Technology,negative
Copart,CPRT,0.076258,149.46787013336925,110.95,-25.77,Industrials,negative
T. Rowe Price,TROW,0.075903,192.1813031161473,101.76,-47.05,Financials,negative
Fifth Third Bancorp,FITB,0.075662,41.54903185509057,33.26,-19.95,Financials,negative
Aptiv,APTV,0.075601,160.80449017773623,85.95,-46.55,Consumer Discretionary,negative
Walgreens Boots Alliance,WBA,0.075318,52.757642609517795,33.48,-36.54,Consumer Staples,negative
International Flavors & Fragrances,IFF,0.074919,150.41443198439785,92.55,-38.47,Materials,negative
Coterra,CTRA,0.07486,19.457889641819943,30.15,54.95,Energy,positive
Willis Towers Watson,WTW,0.074753,235.50135501355012,208.56,-11.44,Communication Services,negative
State Street Corporation,STT,0.074682,90.9484625378952,63,-30.73,Financials,negative
HP,HPQ,0.074395,38.13946631284092,25.87,-32.17,Information Technology,negative
Gartner,IT,0.07341,329.9562010142923,286.27,-13.24,Information Technology,negative
D. R. Horton,DHI,0.073188,101.6037170263789,67.79,-33.28,Consumer Discretionary,negative
Genuine Parts,GPC,0.072912,138.75360041895786,158.97,14.57,Consumer Discretionary,positive
Extra Space Storage,EXR,0.072485,220.14063951174205,165.92,-24.63,Real Estate,negative
CBRE,CBRE,0.072172,104.74058060531192,67.83,-35.24,Real Estate,negative
Zimmer Biomet,ZBH,0.072161,125.98461896993709,108.12,-14.18,Health Care,negative
Tractor Supply Company,TSCO,0.07203,230.9375367603811,196.32,-14.99,Consumer Discretionary,negative
PG&E,PCG,0.071911,12.053877831159918,14.05,16.56,Energy,positive
AmerisourceBergen,ABC,0.071607,131.05676049838488,142,8.35,Health Care,positive
Weyerhaeuser,WY,0.070914,38.666311726341014,29.05,-24.87,Real Estate,negative
Equity Residential,EQR,0.070202,88.58415703744954,63.63,-28.17,Real Estate,negative
Fortive,FTV,0.070029,75.06805246226183,60.67,-19.18,Industrials,negative
CDW,CDW,0.069425,202.6044975225511,159.47,-21.29,Information Technology,negative
Edison International,EIX,0.069119,66.50421966004993,55.95,-15.87,Utilities,negative
The Hartford,HIG,0.069067,70.27697395618024,68,-3.24,Financials,negative
First Republic Bank,FRC,0.068514,196.95207892882314,111.79,-43.24,Financials,negative
eBay,EBAY,0.067683,65.20988080842979,37.75,-42.11,Consumer Discretionary,negative
DTE Energy,DTE,0.067507,118.16599586642008,108.63,-8.07,Utilities,negative
Ulta Beauty,ULTA,0.067468,393.2600285074323,386.26,-1.78,Consumer Discretionary,negative
Entergy,ETR,0.067102,109.31169679808322,100.37,-8.18,Utilities,negative
Molina Healthcare,MOH,0.066937,312.43697478991595,353.21,13.05,Health Care,positive
Vulcan Materials,VMC,0.06679,202.3401751862989,154.77,-23.51,Materials,negative
United Rentals,URI,0.06611,322.70221622229724,286.85,-11.11,Industrials,negative
LyondellBasell,LYB,0.065308,90.82547712117729,79,-13.02,Materials,negative
Delta Air Lines,DAL,0.065257,39.46793002915452,32.49,-17.68,Industrials,negative
Regions Financial Corporation,RF,0.065243,21.034621578099838,20.9,-0.64,Financials,negative
Ameren Corp,AEE,0.064801,88.11126065500225,78.56,-10.84,Utilities,negative
FirstEnergy,FE,0.064801,41.15483223720878,36.92,-10.29,Utilities,negative
Huntington Bancshares,HBAN,0.064794,14.885245901639342,13.62,-8.5,Financials,negative
Equifax,EFX,0.064092,283.6803105151729,160.79,-43.32,Industrials,negative
CF Industries,CF,0.063904,71.4447111989832,101.18,41.62,Materials,positive
Raymond James Financial,RJF,0.063713,97.70395701025893,100,2.35,Financials,positive
Alexandria Real Estate Equities,ARE,0.063366,217.68628104684115,130.59,-40.01,Real Estate,negative
Martin Marietta Materials,MLM,0.063344,431.00412654745526,313.34,-27.3,Materials,negative
Lennar,LEN,0.062724,109.44394076760351,72.43,-33.82,Consumer Discretionary,negative
Southwest Airlines,LUV,0.062477,42.57234726688103,33.1,-22.25,Industrials,negative
EPAM Systems,EPAM,0.062398,651.78922532442,331.5,-49.14,Information Technology,negative
Nasdaq,NDAQ,0.062054,70.97405775819873,58,-18.28,Financials,negative
Invitation Homes,INVH,0.061759,44.26586761100518,32.5,-26.58,Real Estate,negative
LabCorp,LH,0.061623,308.0395338545508,208.82,-32.21,Health Care,negative
Cardinal Health,CAH,0.061599,51.417328572469586,70.56,37.23,Health Care,positive
Tyson Foods,TSN,0.061382,86.08384186786947,64.89,-24.62,Consumer Staples,negative
SVB Financial,SIVB,0.061326,659.6794081381012,321,-51.34,Financials,negative
West Pharmaceutical Services,WST,0.061321,439.2255288633919,245,-44.22,Health Care,negative
Take-Two Interactive,TTWO,0.060944,179.44322344322345,122.47,-31.75,Communication Services,negative
Quanta Services,PWR,0.060491,113.93090409075283,132.57,16.36,Industrials,positive
Ingersoll Rand,IR,0.060372,60.934210526315795,46.31,-24,Industrials,negative
Ansys,ANSS,0.05992,395.9881678683675,214.19,-45.91,Information Technology,negative
Principal Financial Group,PFG,0.059842,71.32379572618616,78.77,10.44,Financials,positive
Marathon Oil,MRO,0.059748,16.891086749285034,28.35,67.84,Energy,positive
