company,symbol,weight,current_price,ytd_return
Travelers Companies Inc.,TRV,0.126651,   173.56, 6.61%
Biogen Inc.,BIIB,0.125962,   265.01, 12.65%
Sysco Corporation,SYY,0.125516,   76.50, -1.97%
Kimberly-Clark Corporation,KMB,0.124741,   114.94, -19.20%
Moody's Corporation,MCO,0.124183,   241.88, -37.03%
Capital One Financial Corp,COF,0.122304,   95.71, -31.36%
KLA Corporation,KLAC,0.121933,   273.99, -37.51%
DexCom Inc.,DXCM,0.121361,   97.00, -27.79%
Motorola Solutions Inc.,MSI,0.120901,   222.15, -17.08%
Exelon Corporation,EXC,0.11918,   36.85, -8.83%
FedEx Corporation,FDX,0.118897,   152.95, -39.57%
Allstate Corporation,ALL,0.118803,   135.15, 16.77%
Williams Companies Inc.,WMB,0.118675,   30.88, 16.90%
Arthur J. Gallagher & Co.,AJG,0.11855,   178.05, 3.81%
NXP Semiconductors NV,NXPI,0.118305,   141.32, -38.12%
Johnson Controls International plc,JCI,0.117285,   52.41, -34.55%
Ecolab Inc.,ECL,0.11681,   146.64, -36.88%
Charter Communications Inc. Class A,CHTR,0.116658,   323.50, -49.56%
Realty Income Corporation,O,0.115849,   58.01, -18.10%
Prudential Financial Inc.,PRU,0.11573,   96.06, -10.07%
TE Connectivity Ltd.,TEL,0.115547,   112.03, -30.02%
Constellation Brands Inc. Class A,STZ,0.115439,   227.26, -9.75%
Paychex Inc.,PAYX,0.11509,   139.16, -16.94%
Hilton Worldwide Holdings Inc,HLT,0.113562,   128.60, -17.56%
Kinder Morgan Inc Class P,KMI,0.112721,   17.75, 12.04%
Twitter Inc.,TWTR,0.111393,   51.93, 19.81%
Monster Beverage Corporation,MNST,0.111347,   88.24, -5.79%
Trane Technologies plc,TT,0.111341,   145.14, -25.79%
Hess Corporation,HES,0.111231,   130.09, 70.01%
Aflac Incorporated,AFL,0.110742,   60.14, 3.08%
Cintas Corporation,CTAS,0.110647,   400.25, -9.27%
IQVIA Holdings Inc,IQV,0.110002,   178.39, -34.67%
Parker-Hannifin Corporation,PH,0.109151,   265.58, -16.12%
Enphase Energy Inc.,ENPH,0.108954,   243.98, 37.43%
Fortinet Inc.,FTNT,0.107967,   51.51, -28.27%
Xcel Energy Inc.,XEL,0.107065,   61.10, -8.98%
Hershey Company,HSY,0.106813,   229.70, 17.49%
Dow Inc.,DOW,0.106572,   45.00, -18.23%
M&T Bank Corporation,MTB,0.106417,   163.10, 23.30%
Newmont Corporation,NEM,0.105632,   40.42, -32.76%
MSCI Inc. Class A,MSCI,0.105603,   398.79, -33.32%
Microchip Technology Incorporated,MCHP,0.104423,   61.00, -31.92%
Keurig Dr Pepper Inc.,KDP,0.104306,   37.78, 4.10%
Electronic Arts Inc.,EA,0.104267,   126.00, -6.47%
Nucor Corporation,NUE,0.104263,   123.48, 9.03%
Illumina Inc.,ILMN,0.1036,   204.51, -45.15%
Simon Property Group Inc.,SPG,0.102771,   98.03, -38.25%
ResMed Inc.,RMD,0.101861,   215.30, -15.96%
Yum! Brands Inc.,YUM,0.101447,   110.45, -19.72%
Cognizant Technology Solutions Corporation Class A,CTSH,0.101131,   59.89, -31.56%
Cummins Inc.,CMI,0.100924,   224.76, 2.66%
Global Payments Inc.,GPN,0.100795,   112.67, -15.91%
PACCAR Inc,PCAR,0.099832,   90.74, 2.76%
Carrier Global Corp.,CARR,0.097813,   34.89, -33.04%
Consolidated Edison Inc.,ED,0.095487,   84.54, -0.38%
Ross Stores Inc.,ROST,0.094682,   83.66, -25.92%
Dollar Tree Inc.,DLTR,0.094397,   141.60, -0.53%
Bank of New York Mellon Corp,BK,0.094031,   39.02, -31.20%
VICI Properties Inc,VICI,0.094024,   29.56, 1.66%
Albemarle Corporation,ALB,0.093293,   256.50, 7.66%
CoStar Group Inc.,CSGP,0.092927,   72.29, -7.19%
Ameriprise Financial Inc.,AMP,0.09292,   264.30, -10.99%
Keysight Technologies Inc,KEYS,0.092796,   161.00, -21.94%
Kraft Heinz Company,KHC,0.091924,   35.93, 0.47%
IDEXX Laboratories Inc.,IDXX,0.091154,   335.49, -48.04%
Warner Bros. Discovery Inc. Series A,WBD,0.090424,   12.62, -45.28%
Kroger Co.,KR,0.090295,   42.88, -4.64%
Otis Worldwide Corporation,OTIS,0.090218,   66.28, -23.38%
Welltower Inc,WELL,0.089946,   59.33, -29.26%
SBA Communications Corp. Class A,SBAC,0.089667,   252.49, -33.61%
Constellation Energy Corporation,CEG,0.089396,   85.69, 132.37%
Baxter International Inc.,BAX,0.089301,   55.32, -35.23%
Public Service Enterprise Group Inc,PEG,0.089238,   54.80, -16.54%
TransDigm Group Incorporated,TDG,0.089103,   541.50, -12.56%
